t_s	vmhwm_mb	vmrss_mb	mem_avail_mb	swapfree_mb
0.0	0	0	7382	38102
0.5	230	230	7297	38102
1.0	429	430	7193	38102
1.5	533	533	7181	38102
2.0	678	678	7237	38102
2.5	1050	1050	7155	38102
3.0	1205	1205	7135	38102
3.5	1541	1541	7115	38102
4.0	1809	1809	7092	38102
4.5	1936	1936	7095	38102
5.0	2107	2107	7120	38101
5.5	2151	2123	7134	38100
6.0	2165	2164	7140	38100
6.5	2171	2107	7140	38100
7.0	2171	2052	7138	38100
7.5	2171	1953	7173	38096
8.0	2171	1936	7262	38028
8.5	2171	1924	7344	38002
9.0	2171	1872	7339	38002
9.5	2171	1911	7345	37996
10.0	2393	2394	7272	37996
10.5	2964	2964	6958	37996
11.0	3680	3680	6533	37996
11.5	4312	4312	6081	37996
12.0	4804	4804	5809	37980
12.5	4944	4944	5846	37959
13.0	5039	5039	5864	37888
13.5	5165	5165	5917	37782
14.0	5266	5266	5955	37665
14.5	5363	5363	5993	37553
15.0	5441	5441	6010	37442
15.5	5476	5463	6043	37298
16.0	5719	5712	5894	37246
16.5	6379	6379	5495	37244
17.0	6959	6938	5079	37236
17.5	7108	7096	4698	37229
18.0	7176	7176	4406	37215
18.5	7238	7238	4450	37040
19.0	7332	7332	4496	36989
19.5	7430	7416	4418	36943
20.0	7436	7412	4029	36942
20.5	7456	7417	3597	36942
21.0	7494	7487	3426	36870
21.5	7494	7460	3470	36752
22.0	7494	7431	3521	36617
22.5	7494	7391	3594	36480
23.0	7494	7338	3677	36319
23.5	7494	7288	3599	36204
24.0	7494	7284	3618	36111
24.5	7494	7242	3647	36036
25.0	7494	7207	3806	35960
25.5	7494	7117	3777	35894
26.0	7494	7051	3289	35889
26.5	7494	7124	2879	35876
27.0	7494	7065	2928	35768
27.5	7494	7036	2982	35648
28.0	7494	7079	3043	35578
28.5	7494	7062	3068	35513
29.0	7494	7036	3116	35435
29.5	7494	6968	3187	35312
30.0	7494	6956	3233	35178
30.5	7494	6895	3174	35073
31.0	7494	7024	2937	35073
31.5	7494	7184	2638	35056
32.0	7494	7157	2684	34950
32.5	7494	7108	2725	34848
33.0	7494	7072	2762	34748
33.5	7494	6982	2711	34625
34.0	7494	6898	2809	34474
34.5	7494	6867	2854	34359
35.0	7494	6843	2886	34267
35.5	7494	6827	2922	34172
36.1	7494	6805	2973	34058
36.6	7494	6798	3016	33950
37.1	7494	6748	3062	33809
37.6	7494	6787	3142	33684
38.1	7494	6768	3162	33587
38.6	7494	6769	3257	33470
39.1	7494	6790	3304	33399
39.6	7494	6814	3361	33312
40.1	7494	6837	3417	33223
40.6	7494	6867	3335	33159
41.1	7494	7061	2963	33159
41.6	7494	7094	2825	33099
42.1	7494	7045	2839	33010
42.6	7494	7024	2871	32910
43.1	7494	6968	2924	32809
43.6	7494	6909	2982	32703
44.1	7494	6858	2887	32599
44.6	7494	6783	2958	32524
45.1	7494	6687	3035	32426
45.6	7494	6658	3081	32326
46.1	7494	6623	3131	32225
46.6	7494	6593	3180	32100
47.1	7494	6569	3237	31996
47.6	7494	6528	3289	31880
48.1	7494	6520	3329	31767
48.6	7494	6588	3386	31671
49.1	7494	6579	3410	31571
49.6	7494	6589	3460	31477
50.1	7494	6585	3503	31417
50.6	7494	6594	3532	31346
51.1	7494	6591	3550	31272
51.6	7494	6574	3570	31194
52.1	7494	6547	3603	31090
52.6	7494	6521	3646	30982
53.1	7494	6498	3680	30878
53.6	7494	6487	3710	30793
54.1	7494	6465	3744	30688
54.6	7494	6444	3780	30579
55.1	7494	6418	3804	30495
55.6	7494	6419	3830	30398
56.1	7494	6467	3832	30278
56.6	7494	6476	3861	30194
57.1	7494	6574	3935	30122
57.6	7494	6727	3877	30049
58.1	7494	6706	3908	29963
58.6	7494	6691	3934	29892
59.1	7494	6677	3966	29802
59.6	7494	6666	3996	29717
60.1	7494	6617	4027	29611
60.6	7494	6606	4048	29550
61.1	7494	6587	4068	29473
61.6	7494	6725	4032	29389
62.1	7494	6682	4041	29309
62.6	7494	6636	4055	29226
63.1	7494	6601	4074	29142
63.6	7494	6562	4092	29057
64.1	7494	6532	4112	28981
64.6	7494	6510	4132	28911
65.1	7494	6490	4151	28835
65.6	7494	6469	4173	28746
66.1	7494	6532	4193	28642
66.6	7494	6661	4263	28573
67.1	7494	6649	4280	28485
67.6	7494	6641	4292	28404
68.1	7494	6717	4436	28340
68.6	7494	6767	4388	28340
69.1	7494	6824	4323	28340
69.6	7494	6888	4241	28340
70.1	7494	6943	4188	28340
70.6	7494	6947	4164	28412
71.1	7494	6954	4147	28508
71.6	7494	3435	4111	28576
72.1	7494	3453	4075	28600
72.6	7494	3833	3701	28600
73.1	7494	4511	3019	28600
73.6	7494	4832	2695	28600
74.1	7494	4893	2657	28600
74.6	7494	4902	2572	28600
75.1	7494	4918	2549	28600
75.6	7494	5067	2450	28601
76.1	7494	5890	1721	28603
76.6	7494	5986	1610	28604
77.1	7494	6102	1524	28604
77.6	7494	6484	1092	28604
78.1	7494	7004	518	28605
78.6	7494	7306	264	28578
79.1	7494	7269	270	28475
79.6	7494	7237	279	28413
80.1	7494	7207	286	28364
80.6	7494	7170	290	28268
81.1	7494	7104	316	28163
81.6	7494	7086	326	28090
82.1	7494	7064	336	28008
82.6	7494	7021	380	27926
83.1	7494	7064	379	27809
83.6	7494	7071	397	27711
84.1	7494	7029	426	27608
84.6	7494	6962	397	27526
85.1	7494	6927	425	27436
85.6	7494	6911	443	27341
86.1	7494	6949	432	27277
86.6	7494	6969	428	27190
87.1	7494	6967	436	27103
87.6	7494	7085	431	27013
88.1	7494	7240	434	26938
88.6	7494	7324	436	26854
89.1	7494	7378	504	26800
89.6	7595	7595	543	26795
90.1	7658	7622	401	26746
90.6	7658	7563	458	26674
91.1	7658	7543	489	26603
91.6	7658	7533	486	26524
92.1	7658	7520	494	26467
92.6	7658	7510	535	26405
93.1	7658	7525	545	26336
93.7	7757	7690	498	26336
94.2	7784	7431	715	26336
94.7	7784	7771	386	26336
95.2	7841	7837	327	26329
95.7	7846	7840	328	26314
96.2	7847	7838	320	26299
96.7	7847	7160	753	26277
97.2	7847	7429	746	26266
97.7	7847	7267	896	26200
98.2	7847	7187	966	26196
98.7	7847	7188	938	26197
99.2	7847	7189	926	26197
99.7	7847	7189	925	26197
100.2	7847	7300	809	26197
100.7	7847	7301	808	26197
101.2	7847	7301	807	26197
101.7	7847	7301	807	26197
102.2	7847	7301	801	26197
102.7	7847	7301	803	26197
103.2	7847	7301	804	26197
103.7	7847	7301	779	26197
104.2	7847	7301	779	26197
104.7	7847	7301	778	26197
105.2	7847	7301	776	26197
105.7	7847	7301	773	26197
106.2	7847	7301	773	26197
106.7	7847	7302	772	26197
107.2	7847	7302	771	26197
107.7	7847	7302	767	26197
108.2	7847	7302	765	26197
108.7	7847	7302	765	26197
