frame,t_s,s_m,x,y,z,speed_ms,speed_kph,curvature,heading_rad,accel_long_ms2,accel_lat_ms2,wheel_rot_rad,steer_norm,pitch_rad,roll_rad,wheelspin
0,0.000000,0.0000,0.0000,0.0000,0.0000,0.50000,1.800,0.0000000,0.000000,3.3141,0.0000,2.22222,0.00000,-0.003085,0.000000,1
1,0.041667,0.0208,0.0260,0.0000,0.0000,0.63809,2.297,0.0000000,0.000000,3.3141,0.0000,4.14233,0.00000,-0.003085,0.000000,1
2,0.083333,0.0416,0.0521,0.0000,0.0000,0.77617,2.794,0.0000000,0.000000,3.3141,0.0000,5.72441,0.00000,-0.003085,0.000000,1
3,0.125000,0.0624,0.0781,0.0000,0.0000,0.91426,3.291,0.0000000,0.000000,3.3141,0.0000,6.99181,0.00000,-0.003085,0.000000,1
4,0.166667,0.0832,0.1042,0.0000,0.0000,1.05235,3.788,0.0000000,0.000000,3.3141,0.0000,7.96978,0.00000,-0.003085,0.000000,1
5,0.208333,0.1040,0.1302,0.0000,0.0000,1.19044,4.286,0.0000000,0.000000,3.3141,0.0000,8.68599,0.00000,-0.003085,0.000000,1
6,0.250000,0.1248,0.1562,0.0000,0.0000,1.32852,4.783,0.0000000,0.000000,3.3141,0.0000,9.17143,0.00000,-0.003085,0.000000,1
7,0.291667,0.1456,0.1823,0.0000,0.0000,1.46661,5.280,0.0000000,0.000000,3.3141,0.0000,9.46199,0.00000,-0.003085,0.000000,1
8,0.333333,0.1664,0.2083,0.0000,0.0000,1.60470,5.777,0.0000000,0.000000,3.3141,0.0000,9.60207,0.00000,-0.003085,0.000000,1
9,0.375000,0.1872,0.2344,0.0000,0.0000,1.74278,6.274,0.0000000,0.000000,3.3141,0.0000,9.65984,0.00000,-0.003085,0.000000,1
10,0.416667,0.2080,0.2604,0.0000,0.0000,1.88087,6.771,0.0000000,0.000000,3.3141,0.0000,9.71762,0.00000,-0.003085,0.000000,0
11,0.458333,0.2288,0.2865,0.0000,0.0000,2.01896,7.268,0.0000000,0.000000,3.3141,0.0000,9.77539,0.00000,-0.003085,0.000000,0
12,0.500000,0.2496,0.3125,0.0000,0.0000,2.15704,7.765,0.0000000,0.000000,5.5116,0.0000,9.83317,0.00000,-0.005130,0.000000,0
13,0.541667,0.3393,0.4248,0.0000,0.0000,2.47826,8.922,0.0000000,0.000000,7.7091,0.0000,10.08241,0.00000,-0.007176,0.000000,0
14,0.583333,0.4290,0.5372,0.0000,0.0000,2.79947,10.078,0.0000000,0.000000,7.7808,0.0000,10.33165,0.00000,-0.007243,0.000000,0
15,0.625000,0.5269,0.6597,0.0000,0.0000,3.12665,11.256,0.0000000,0.000000,8.1090,0.0000,10.60344,0.00000,-0.007548,0.000000,0
16,0.666667,0.6538,0.8186,0.0000,0.0000,3.47522,12.511,0.0000000,0.000000,8.3998,0.0000,10.95592,0.00000,-0.007819,0.000000,0
17,0.708333,0.7878,0.9864,0.0000,0.0000,3.82664,13.776,0.0000000,0.000000,8.5358,0.0000,11.32833,0.00000,-0.007945,0.000000,0
18,0.750000,0.9433,1.1810,0.0000,0.0000,4.18654,15.072,0.0000000,0.000000,8.6858,0.0000,11.76003,0.00000,-0.008085,0.000000,0
19,0.791667,1.1142,1.3951,0.0000,0.0000,4.55046,16.382,0.0000000,0.000000,8.7727,0.0000,12.23484,0.00000,-0.008166,0.000000,0
20,0.833333,1.2990,1.6265,0.0000,0.0000,4.91759,17.703,0.0000000,0.000000,8.8469,0.0000,12.74832,0.00000,-0.008235,0.000000,0
21,0.875000,1.4999,1.8780,0.0000,0.0000,5.28770,19.036,0.0000000,0.000000,8.9149,0.0000,13.30622,0.00000,-0.008298,0.000000,0
22,0.916667,1.7197,2.1532,0.0000,0.0000,5.66050,20.378,0.0000000,0.000000,8.9682,0.0000,13.91673,0.00000,-0.008348,0.000000,0
23,0.958333,1.9549,2.4477,0.0000,0.0000,6.03505,21.726,0.0000000,0.000000,9.0072,0.0000,14.57006,0.00000,-0.008384,0.000000,0
24,1.000000,2.2058,2.7618,0.0000,0.0000,6.41110,23.080,0.0000000,0.000000,9.0407,0.0000,15.26701,0.00000,-0.008415,0.000000,0
25,1.041667,2.4725,3.0958,0.0000,0.0000,6.78844,24.438,0.0000000,0.000000,9.0693,0.0000,16.00791,0.00000,-0.008442,0.000000,0
26,1.083333,2.7554,3.4500,0.0000,0.0000,7.16688,25.801,0.0000000,0.000000,9.0945,0.0000,16.79387,0.00000,-0.008466,0.000000,0
27,1.125000,3.0556,3.8259,0.0000,0.0000,7.54632,27.167,0.0000000,0.000000,9.1157,0.0000,17.62768,0.00000,-0.008485,0.000000,0
28,1.166667,3.3714,4.2213,0.0000,0.0000,7.92652,28.535,0.0000000,0.000000,9.1328,0.0000,18.50490,0.00000,-0.008501,0.000000,0
29,1.208333,3.7025,4.6359,0.0000,0.0000,8.30738,29.907,0.0000000,0.000000,9.1482,0.0000,19.42461,0.00000,-0.008516,0.000000,0
30,1.250000,4.0504,5.0714,0.0000,0.0000,8.68887,31.280,0.0000000,0.000000,9.1621,0.0000,20.39093,0.00000,-0.008528,0.000000,0
31,1.291667,4.4144,5.5272,0.0000,0.0000,9.07089,32.655,0.0000000,0.000000,9.1738,0.0000,21.40212,0.00000,-0.008539,0.000000,0
32,1.333333,4.7942,6.0028,0.0000,0.0000,9.45336,34.032,0.0000000,0.000000,9.1842,0.0000,22.45714,0.00000,-0.008549,0.000000,0
33,1.375000,5.1904,6.4988,0.0000,0.0000,9.83624,35.410,0.0000000,0.000000,9.1937,0.0000,23.55753,0.00000,-0.008558,0.000000,0
34,1.416667,5.6029,7.0153,0.0000,0.0000,10.21949,36.790,0.0000000,0.000000,9.2018,0.0000,24.70336,0.00000,-0.008565,0.000000,0
35,1.458333,6.0309,7.5513,0.0000,0.0000,10.60306,38.171,0.0000000,0.000000,9.2091,0.0000,25.89249,0.00000,-0.008572,0.000000,0
36,1.500000,6.4753,8.1076,0.0000,0.0000,10.98692,39.553,0.0000000,0.000000,9.2159,0.0000,27.12675,0.00000,-0.008579,0.000000,0
37,1.541667,6.9362,8.6847,0.0000,0.0000,11.37105,40.936,0.0000000,0.000000,9.2219,0.0000,28.40713,0.00000,-0.008584,0.000000,0
38,1.583333,7.4131,9.2818,0.0000,0.0000,11.75542,42.320,0.0000000,0.000000,9.2273,0.0000,29.73180,0.00000,-0.008589,0.000000,0
39,1.625000,7.9060,9.8990,0.0000,0.0000,12.13999,43.704,0.0000000,0.000000,9.2321,0.0000,31.10105,0.00000,-0.008594,0.000000,0
40,1.666667,8.4150,10.5364,0.0000,0.0000,12.52476,45.089,0.0000000,0.000000,9.2366,0.0000,32.51497,0.00000,-0.008598,0.000000,0
41,1.708333,8.9401,11.1938,0.0000,0.0000,12.90971,46.475,0.0000000,0.000000,9.2406,0.0000,33.97351,0.00000,-0.008602,0.000000,0
42,1.750000,9.4812,11.8713,0.0000,0.0000,13.29482,47.861,0.0000000,0.000000,9.2444,0.0000,35.47652,0.00000,-0.008605,0.000000,0
43,1.791667,10.0389,12.5696,0.0000,0.0000,13.68008,49.248,0.0000000,0.000000,9.2478,0.0000,37.02569,0.00000,-0.008608,0.000000,0
44,1.833333,10.6126,13.2879,0.0000,0.0000,14.06547,50.636,0.0000000,0.000000,9.2509,0.0000,38.61925,0.00000,-0.008611,0.000000,0
45,1.875000,11.2021,14.0259,0.0000,0.0000,14.45098,52.024,0.0000000,0.000000,9.2538,0.0000,40.25670,0.00000,-0.008614,0.000000,0
46,1.916667,11.8080,14.7847,0.0000,0.0000,14.83662,53.412,0.0000000,0.000000,9.7583,0.0000,41.93997,0.00000,-0.009083,0.000000,0
47,1.958333,12.4319,15.4519,0.0000,0.0000,15.26418,54.951,0.0000000,0.000000,10.4578,0.0000,43.67289,0.00000,-0.009735,0.000000,0
48,2.000000,13.0749,16.0949,0.0000,0.0000,15.70810,56.549,0.0000000,0.000000,10.6558,0.0000,45.45911,0.00000,-0.009919,0.000000,0
49,2.041667,13.7362,16.7562,0.0000,0.0000,16.15216,58.148,0.0000000,0.000000,10.6590,0.0000,47.29599,0.00000,-0.009922,0.000000,0
50,2.083333,14.4167,17.4367,0.0000,0.0000,16.59635,59.747,0.0000000,0.000000,10.6619,0.0000,49.18615,0.00000,-0.009925,0.000000,0
51,2.125000,15.1156,18.1356,0.0000,0.0000,17.04066,61.346,0.0000000,0.000000,10.6646,0.0000,51.12756,0.00000,-0.009927,0.000000,0
52,2.166667,15.8330,18.8530,0.0000,0.0000,17.48507,62.946,0.0000000,0.000000,10.6671,0.0000,53.12053,0.00000,-0.009929,0.000000,0
53,2.208333,16.5691,19.5891,0.0000,0.0000,17.92958,64.546,0.0000000,0.000000,10.6694,0.0000,55.16526,0.00000,-0.009932,0.000000,0
